Geography,Geographic Area Name,Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars),Annotation of Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars),Annotation of Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)
1400000US37151030805,"Census Tract 308.05, Randolph County, North Carolina",59067,null,12337,null
1400000US37151030806,"Census Tract 308.06, Randolph County, North Carolina",36909,null,19133,null
1400000US37151030900,"Census Tract 309, Randolph County, North Carolina",58121,null,7817,null
1400000US37151031001,"Census Tract 310.01, Randolph County, North Carolina",43660,null,7259,null
1400000US37151031002,"Census Tract 310.02, Randolph County, North Carolina",42656,null,12936,null
1400000US37151031101,"Census Tract 311.01, Randolph County, North Carolina",44156,null,7786,null
1400000US37151031102,"Census Tract 311.02, Randolph County, North Carolina",50722,null,10414,null
1400000US37151031200,"Census Tract 312, Randolph County, North Carolina",41948,null,14711,null
1400000US37151031303,"Census Tract 313.03, Randolph County, North Carolina",54512,null,14440,null
1400000US37151031304,"Census Tract 313.04, Randolph County, North Carolina",48365,null,17172,null
1400000US37151031305,"Census Tract 313.05, Randolph County, North Carolina",42472,null,5231,null
1400000US37151031307,"Census Tract 313.07, Randolph County, North Carolina",56729,null,12403,null
1400000US37151031308,"Census Tract 313.08, Randolph County, North Carolina",60156,null,24944,null
1400000US37151031401,"Census Tract 314.01, Randolph County, North Carolina",49340,null,11149,null
1400000US37151031402,"Census Tract 314.02, Randolph County, North Carolina",58774,null,21065,null
1400000US37151031501,"Census Tract 315.01, Randolph County, North Carolina",65891,null,7463,null
1400000US37151031503,"Census Tract 315.03, Randolph County, North Carolina",52855,null,8132,null
1400000US37151031504,"Census Tract 315.04, Randolph County, North Carolina",68571,null,20716,null
1400000US37151031505,"Census Tract 315.05, Randolph County, North Carolina",60444,null,10206,null
1400000US37151031601,"Census Tract 316.01, Randolph County, North Carolina",54661,null,6973,null
1400000US37151031602,"Census Tract 316.02, Randolph County, North Carolina",42426,null,3660,null
1400000US37153970100,"Census Tract 9701, Richmond County, North Carolina",57100,null,22737,null
1400000US37153970200,"Census Tract 9702, Richmond County, North Carolina",52188,null,10338,null
1400000US37153970300,"Census Tract 9703, Richmond County, North Carolina",49375,null,19790,null
1400000US37153970400,"Census Tract 9704, Richmond County, North Carolina",55805,null,8389,null
1400000US37153970500,"Census Tract 9705, Richmond County, North Carolina",26548,null,20598,null
1400000US37153970600,"Census Tract 9706, Richmond County, North Carolina",18993,null,4703,null
1400000US37153970700,"Census Tract 9707, Richmond County, North Carolina",25204,null,12678,null
1400000US37153970800,"Census Tract 9708, Richmond County, North Carolina",45945,null,7953,null
1400000US37153970900,"Census Tract 9709, Richmond County, North Carolina",44138,null,11465,null
1400000US37153971000,"Census Tract 9710, Richmond County, North Carolina",33177,null,16107,null
1400000US37153971100,"Census Tract 9711, Richmond County, North Carolina",28280,null,3451,null
1400000US37155960101,"Census Tract 9601.01, Robeson County, North Carolina",33025,null,6940,null
1400000US37155960102,"Census Tract 9601.02, Robeson County, North Carolina",42702,null,7557,null
1400000US37155960202,"Census Tract 9602.02, Robeson County, North Carolina",26128,null,4974,null
1400000US37155960203,"Census Tract 9602.03, Robeson County, North Carolina",41290,null,7249,null
1400000US37155960204,"Census Tract 9602.04, Robeson County, North Carolina",36107,null,6377,null
1400000US37155960301,"Census Tract 9603.01, Robeson County, North Carolina",20119,null,11293,null
1400000US37155960302,"Census Tract 9603.02, Robeson County, North Carolina",39615,null,10587,null
1400000US37155960402,"Census Tract 9604.02, Robeson County, North Carolina",30833,null,14295,null
1400000US37155960403,"Census Tract 9604.03, Robeson County, North Carolina",39583,null,13496,null
1400000US37155960404,"Census Tract 9604.04, Robeson County, North Carolina",40938,null,21479,null
1400000US37155960501,"Census Tract 9605.01, Robeson County, North Carolina",34167,null,6473,null
1400000US37155960502,"Census Tract 9605.02, Robeson County, North Carolina",26306,null,3132,null
1400000US37155960503,"Census Tract 9605.03, Robeson County, North Carolina",27027,null,7419,null
1400000US37155960601,"Census Tract 9606.01, Robeson County, North Carolina",33693,null,9494,null
1400000US37155960602,"Census Tract 9606.02, Robeson County, North Carolina",49327,null,18984,null
1400000US37155960701,"Census Tract 9607.01, Robeson County, North Carolina",58304,null,14141,null
1400000US37155960702,"Census Tract 9607.02, Robeson County, North Carolina",42315,null,6503,null
1400000US37155960801,"Census Tract 9608.01, Robeson County, North Carolina",20058,null,4522,null
1400000US37155960802,"Census Tract 9608.02, Robeson County, North Carolina",30568,null,7850,null
1400000US37155960900,"Census Tract 9609, Robeson County, North Carolina",51875,null,6839,null
1400000US37155961000,"Census Tract 9610, Robeson County, North Carolina",33289,null,6930,null
1400000US37155961100,"Census Tract 9611, Robeson County, North Carolina",27697,null,7145,null
1400000US37155961200,"Census Tract 9612, Robeson County, North Carolina",35294,null,9809,null
1400000US37155961301,"Census Tract 9613.01, Robeson County, North Carolina",62964,null,16174,null
1400000US37155961302,"Census Tract 9613.02, Robeson County, North Carolina",46324,null,14165,null
1400000US37155961400,"Census Tract 9614, Robeson County, North Carolina",43500,null,3691,null
1400000US37155961500,"Census Tract 9615, Robeson County, North Carolina",43340,null,5719,null
1400000US37155961601,"Census Tract 9616.01, Robeson County, North Carolina",43091,null,8121,null
1400000US37155961602,"Census Tract 9616.02, Robeson County, North Carolina",38412,null,6151,null
1400000US37155961700,"Census Tract 9617, Robeson County, North Carolina",30840,null,3831,null
1400000US37155961801,"Census Tract 9618.01, Robeson County, North Carolina",31979,null,7383,null
1400000US37155961802,"Census Tract 9618.02, Robeson County, North Carolina",39922,null,7857,null
1400000US37155961900,"Census Tract 9619, Robeson County, North Carolina",33455,null,2382,null
1400000US37155962001,"Census Tract 9620.01, Robeson County, North Carolina",22003,null,6157,null
1400000US37155962002,"Census Tract 9620.02, Robeson County, North Carolina",34243,null,8411,null
1400000US37157040101,"Census Tract 401.01, Rockingham County, North Carolina",50341,null,15100,null
1400000US37157040102,"Census Tract 401.02, Rockingham County, North Carolina",51331,null,11568,null
1400000US37157040200,"Census Tract 402, Rockingham County, North Carolina",38218,null,5642,null
1400000US37157040300,"Census Tract 403, Rockingham County, North Carolina",47723,null,16639,null
1400000US37157040400,"Census Tract 404, Rockingham County, North Carolina",51071,null,13763,null
1400000US37157040501,"Census Tract 405.01, Rockingham County, North Carolina",42992,null,4777,null
1400000US37157040502,"Census Tract 405.02, Rockingham County, North Carolina",44531,null,16030,null
1400000US37157040601,"Census Tract 406.01, Rockingham County, North Carolina",61754,null,12749,null
1400000US37157040602,"Census Tract 406.02, Rockingham County, North Carolina",49656,null,6328,null
1400000US37157040700,"Census Tract 407, Rockingham County, North Carolina",51458,null,9749,null
1400000US37157040800,"Census Tract 408, Rockingham County, North Carolina",41894,null,11639,null
1400000US37157040900,"Census Tract 409, Rockingham County, North Carolina",35125,null,6915,null
1400000US37157041001,"Census Tract 410.01, Rockingham County, North Carolina",61786,null,9332,null
1400000US37157041002,"Census Tract 410.02, Rockingham County, North Carolina",64124,null,5808,null
1400000US37157041100,"Census Tract 411, Rockingham County, North Carolina",64625,null,10705,null
1400000US37157041200,"Census Tract 412, Rockingham County, North Carolina",25360,null,5917,null
1400000US37157041300,"Census Tract 413, Rockingham County, North Carolina",37248,null,13595,null
1400000US37157041400,"Census Tract 414, Rockingham County, North Carolina",30824,null,4088,null
1400000US37157041501,"Census Tract 415.01, Rockingham County, North Carolina",56563,null,21032,null
1400000US37157041502,"Census Tract 415.02, Rockingham County, North Carolina",38930,null,13146,null
1400000US37157041601,"Census Tract 416.01, Rockingham County, North Carolina",74741,null,14744,null
1400000US37157041602,"Census Tract 416.02, Rockingham County, North Carolina",61875,null,20982,null
1400000US37159050201,"Census Tract 502.01, Rowan County, North Carolina",40426,null,12594,null
1400000US37159050202,"Census Tract 502.02, Rowan County, North Carolina",50902,null,8292,null
1400000US37159050300,"Census Tract 503, Rowan County, North Carolina",39590,null,10529,null
1400000US37159050400,"Census Tract 504, Rowan County, North Carolina",30859,null,14439,null
1400000US37159050500,"Census Tract 505, Rowan County, North Carolina",80000,null,38959,null
1400000US37159050700,"Census Tract 507, Rowan County, North Carolina",57593,null,11268,null
1400000US37159050800,"Census Tract 508, Rowan County, North Carolina",41618,null,3270,null
1400000US37159050901,"Census Tract 509.01, Rowan County, North Carolina",50206,null,14053,null
1400000US37159050903,"Census Tract 509.03, Rowan County, North Carolina",69398,null,15949,null
1400000US37159050904,"Census Tract 509.04, Rowan County, North Carolina",76111,null,25076,null
1400000US37159051001,"Census Tract 510.01, Rowan County, North Carolina",46896,null,5620,null
1400000US37159051002,"Census Tract 510.02, Rowan County, North Carolina",58820,null,6364,null
1400000US37159051101,"Census Tract 511.01, Rowan County, North Carolina",54216,null,1683,null
1400000US37159051102,"Census Tract 511.02, Rowan County, North Carolina",62981,null,6339,null
1400000US37159051201,"Census Tract 512.01, Rowan County, North Carolina",60938,null,13350,null
1400000US37159051202,"Census Tract 512.02, Rowan County, North Carolina",70838,null,13984,null
1400000US37159051204,"Census Tract 512.04, Rowan County, North Carolina",56719,null,8662,null
1400000US37159051301,"Census Tract 513.01, Rowan County, North Carolina",53237,null,10403,null
1400000US37159051302,"Census Tract 513.02, Rowan County, North Carolina",56837,null,14927,null
1400000US37159051303,"Census Tract 513.03, Rowan County, North Carolina",44834,null,4860,null
1400000US37159051400,"Census Tract 514, Rowan County, North Carolina",54875,null,14500,null
1400000US37159051501,"Census Tract 515.01, Rowan County, North Carolina",54980,null,9291,null
1400000US37159051502,"Census Tract 515.02, Rowan County, North Carolina",53952,null,11203,null
1400000US37159051600,"Census Tract 516, Rowan County, North Carolina",57034,null,14903,null
1400000US37159051700,"Census Tract 517, Rowan County, North Carolina",37305,null,6882,null
1400000US37159051801,"Census Tract 518.01, Rowan County, North Carolina",51985,null,9628,null
1400000US37159051802,"Census Tract 518.02, Rowan County, North Carolina",64880,null,9767,null
1400000US37159051901,"Census Tract 519.01, Rowan County, North Carolina",59729,null,6565,null
1400000US37159051903,"Census Tract 519.03, Rowan County, North Carolina",71094,null,16035,null
1400000US37159051904,"Census Tract 519.04, Rowan County, North Carolina",52841,null,18480,null
1400000US37159052000,"Census Tract 520, Rowan County, North Carolina",36481,null,13255,null
1400000US37161960101,"Census Tract 9601.01, Rutherford County, North Carolina",61771,null,19267,null
1400000US37161960102,"Census Tract 9601.02, Rutherford County, North Carolina",41803,null,21566,null
1400000US37161960103,"Census Tract 9601.03, Rutherford County, North Carolina",56209,null,14547,null
1400000US37161960201,"Census Tract 9602.01, Rutherford County, North Carolina",47719,null,9038,null
1400000US37161960202,"Census Tract 9602.02, Rutherford County, North Carolina",60424,null,20593,null
1400000US37161960203,"Census Tract 9602.03, Rutherford County, North Carolina",40240,null,15938,null
1400000US37161960301,"Census Tract 9603.01, Rutherford County, North Carolina",65268,null,8980,null
1400000US37161960302,"Census Tract 9603.02, Rutherford County, North Carolina",65250,null,15227,null
1400000US37161960400,"Census Tract 9604, Rutherford County, North Carolina",68351,null,3238,null
1400000US37161960501,"Census Tract 9605.01, Rutherford County, North Carolina",46354,null,17756,null
1400000US37161960502,"Census Tract 9605.02, Rutherford County, North Carolina",31373,null,17192,null
1400000US37161960503,"Census Tract 9605.03, Rutherford County, North Carolina",34432,null,15485,null
1400000US37161960600,"Census Tract 9606, Rutherford County, North Carolina",36050,null,6495,null
1400000US37161960700,"Census Tract 9607, Rutherford County, North Carolina",46679,null,10205,null
1400000US37161960800,"Census Tract 9608, Rutherford County, North Carolina",27335,null,7107,null
1400000US37161960900,"Census Tract 9609, Rutherford County, North Carolina",41574,null,9661,null
1400000US37161961001,"Census Tract 9610.01, Rutherford County, North Carolina",49368,null,5258,null
1400000US37161961002,"Census Tract 9610.02, Rutherford County, North Carolina",47143,null,19556,null
1400000US37161961102,"Census Tract 9611.02, Rutherford County, North Carolina",55531,null,11787,null
1400000US37161961103,"Census Tract 9611.03, Rutherford County, North Carolina",45101,null,13792,null
1400000US37161961104,"Census Tract 9611.04, Rutherford County, North Carolina",44669,null,9046,null
1400000US37161961200,"Census Tract 9612, Rutherford County, North Carolina",43047,null,10625,null
1400000US37163970101,"Census Tract 9701.01, Sampson County, North Carolina",34150,null,2794,null
1400000US37163970102,"Census Tract 9701.02, Sampson County, North Carolina",38868,null,22959,null
1400000US37163970201,"Census Tract 9702.01, Sampson County, North Carolina",57799,null,33167,null
1400000US37163970202,"Census Tract 9702.02, Sampson County, North Carolina",52703,null,11834,null
1400000US37163970302,"Census Tract 9703.02, Sampson County, North Carolina",64204,null,5487,null
1400000US37163970303,"Census Tract 9703.03, Sampson County, North Carolina",36726,null,4316,null
1400000US37163970304,"Census Tract 9703.04, Sampson County, North Carolina",42302,null,13653,null
1400000US37163970401,"Census Tract 9704.01, Sampson County, North Carolina",46329,null,12773,null
1400000US37163970402,"Census Tract 9704.02, Sampson County, North Carolina",43846,null,17783,null
1400000US37163970501,"Census Tract 9705.01, Sampson County, North Carolina",52132,null,15858,null
1400000US37163970502,"Census Tract 9705.02, Sampson County, North Carolina",56629,null,15644,null
1400000US37163970600,"Census Tract 9706, Sampson County, North Carolina",36379,null,8390,null
1400000US37163970701,"Census Tract 9707.01, Sampson County, North Carolina",50250,null,18213,null
1400000US37163970702,"Census Tract 9707.02, Sampson County, North Carolina",45242,null,3967,null
1400000US37163970801,"Census Tract 9708.01, Sampson County, North Carolina",38333,null,7160,null
1400000US37163970802,"Census Tract 9708.02, Sampson County, North Carolina",48175,null,6690,null
1400000US37163970900,"Census Tract 9709, Sampson County, North Carolina",39779,null,15622,null
1400000US37163971001,"Census Tract 9710.01, Sampson County, North Carolina",55199,null,28360,null
1400000US37163971002,"Census Tract 9710.02, Sampson County, North Carolina",60625,null,31620,null
1400000US37163971003,"Census Tract 9710.03, Sampson County, North Carolina",54929,null,27347,null
1400000US37165010101,"Census Tract 101.01, Scotland County, North Carolina",56595,null,7366,null
1400000US37165010102,"Census Tract 101.02, Scotland County, North Carolina",43750,null,9705,null
1400000US37165010200,"Census Tract 102, Scotland County, North Carolina",24127,null,3041,null
1400000US37165010300,"Census Tract 103, Scotland County, North Carolina",27954,null,2307,null
1400000US37165010400,"Census Tract 104, Scotland County, North Carolina",40387,null,8950,null
1400000US37165010501,"Census Tract 105.01, Scotland County, North Carolina",45295,null,15163,null
1400000US37165010502,"Census Tract 105.02, Scotland County, North Carolina",39446,null,3747,null
1400000US37165010601,"Census Tract 106.01, Scotland County, North Carolina",41281,null,7903,null
1400000US37165010602,"Census Tract 106.02, Scotland County, North Carolina",52854,null,10314,null
1400000US37167930101,"Census Tract 9301.01, Stanly County, North Carolina",68182,null,11366,null
1400000US37167930102,"Census Tract 9301.02, Stanly County, North Carolina",67566,null,8109,null
1400000US37167930200,"Census Tract 9302, Stanly County, North Carolina",52750,null,7712,null
1400000US37167930300,"Census Tract 9303, Stanly County, North Carolina",66771,null,12286,null
1400000US37167930500,"Census Tract 9305, Stanly County, North Carolina",45208,null,8854,null
1400000US37167930700,"Census Tract 9307, Stanly County, North Carolina",62401,null,16815,null
1400000US37167930801,"Census Tract 9308.01, Stanly County, North Carolina",53549,null,6804,null
1400000US37167930802,"Census Tract 9308.02, Stanly County, North Carolina",67813,null,7107,null
1400000US37167930901,"Census Tract 9309.01, Stanly County, North Carolina",58631,null,13234,null
1400000US37167930902,"Census Tract 9309.02, Stanly County, North Carolina",65799,null,4953,null
1400000US37167931001,"Census Tract 9310.01, Stanly County, North Carolina",69184,null,12480,null
1400000US37167931002,"Census Tract 9310.02, Stanly County, North Carolina",57434,null,20416,null
1400000US37167931101,"Census Tract 9311.01, Stanly County, North Carolina",60500,null,9184,null
1400000US37167931102,"Census Tract 9311.02, Stanly County, North Carolina",52863,null,23813,null
1400000US37167931202,"Census Tract 9312.02, Stanly County, North Carolina",52950,null,9309,null
1400000US37167931203,"Census Tract 9312.03, Stanly County, North Carolina",17780,null,3354,null
1400000US37167931204,"Census Tract 9312.04, Stanly County, North Carolina",38869,null,7023,null
1400000US37169070101,"Census Tract 701.01, Stokes County, North Carolina",42244,null,8579,null
1400000US37169070102,"Census Tract 701.02, Stokes County, North Carolina",53405,null,33949,null
1400000US37169070200,"Census Tract 702, Stokes County, North Carolina",48076,null,4838,null
1400000US37169070301,"Census Tract 703.01, Stokes County, North Carolina",58214,null,15048,null
1400000US37169070302,"Census Tract 703.02, Stokes County, North Carolina",48350,null,27667,null
1400000US37169070400,"Census Tract 704, Stokes County, North Carolina",62993,null,10272,null
1400000US37169070503,"Census Tract 705.03, Stokes County, North Carolina",68542,null,14648,null
1400000US37169070504,"Census Tract 705.04, Stokes County, North Carolina",55774,null,3465,null
1400000US37169070505,"Census Tract 705.05, Stokes County, North Carolina",60771,null,18690,null
1400000US37169070506,"Census Tract 705.06, Stokes County, North Carolina",40685,null,13406,null
1400000US37169070600,"Census Tract 706, Stokes County, North Carolina",63838,null,9202,null
1400000US37169070701,"Census Tract 707.01, Stokes County, North Carolina",49258,null,7433,null
1400000US37169070702,"Census Tract 707.02, Stokes County, North Carolina",47602,null,6140,null
1400000US37171930101,"Census Tract 9301.01, Surry County, North Carolina",49375,null,12539,null
1400000US37171930102,"Census Tract 9301.02, Surry County, North Carolina",61105,null,10420,null
1400000US37171930201,"Census Tract 9302.01, Surry County, North Carolina",42647,null,11767,null
1400000US37171930202,"Census Tract 9302.02, Surry County, North Carolina",43750,null,7744,null
1400000US37171930301,"Census Tract 9303.01, Surry County, North Carolina",56429,null,13882,null
1400000US37171930302,"Census Tract 9303.02, Surry County, North Carolina",61250,null,17414,null
1400000US37171930400,"Census Tract 9304, Surry County, North Carolina",19517,null,5520,null
1400000US37171930501,"Census Tract 9305.01, Surry County, North Carolina",41280,null,17316,null
1400000US37171930502,"Census Tract 9305.02, Surry County, North Carolina",31424,null,4687,null
1400000US37171930600,"Census Tract 9306, Surry County, North Carolina",44565,null,7195,null
1400000US37171930700,"Census Tract 9307, Surry County, North Carolina",52575,null,8436,null
1400000US37171930802,"Census Tract 9308.02, Surry County, North Carolina",40162,null,4671,null
1400000US37171930803,"Census Tract 9308.03, Surry County, North Carolina",70324,null,31331,null
1400000US37171930804,"Census Tract 9308.04, Surry County, North Carolina",53606,null,25721,null
1400000US37171930901,"Census Tract 9309.01, Surry County, North Carolina",56221,null,9824,null
1400000US37171930902,"Census Tract 9309.02, Surry County, North Carolina",64896,null,15243,null
1400000US37171931001,"Census Tract 9310.01, Surry County, North Carolina",48031,null,11473,null
1400000US37171931002,"Census Tract 9310.02, Surry County, North Carolina",67632,null,17353,null
1400000US37171931003,"Census Tract 9310.03, Surry County, North Carolina",53105,null,6672,null
1400000US37171931101,"Census Tract 9311.01, Surry County, North Carolina",51116,null,9180,null
1400000US37171931102,"Census Tract 9311.02, Surry County, North Carolina",57000,null,16097,null
1400000US37171931103,"Census Tract 9311.03, Surry County, North Carolina",70481,null,5840,null
1400000US37171931200,"Census Tract 9312, Surry County, North Carolina",55489,null,7191,null
1400000US37173940100,"Census Tract 9401, Swain County, North Carolina",45667,null,6924,null
1400000US37173960200,"Census Tract 9602, Swain County, North Carolina",49894,null,17748,null
1400000US37173960301,"Census Tract 9603.01, Swain County, North Carolina",44769,null,21812,null
1400000US37173960302,"Census Tract 9603.02, Swain County, North Carolina",55069,null,14274,null
1400000US37173980200,"Census Tract 9802, Swain County, North Carolina",-,-,**,**
1400000US37175960100,"Census Tract 9601, Transylvania County, North Carolina",53438,null,12420,null
1400000US37175960201,"Census Tract 9602.01, Transylvania County, North Carolina",55047,null,11698,null
1400000US37175960202,"Census Tract 9602.02, Transylvania County, North Carolina",59375,null,30131,null
1400000US37175960301,"Census Tract 9603.01, Transylvania County, North Carolina",50056,null,11467,null
1400000US37175960302,"Census Tract 9603.02, Transylvania County, North Carolina",64479,null,12223,null
1400000US37175960401,"Census Tract 9604.01, Transylvania County, North Carolina",74470,null,13273,null
1400000US37175960403,"Census Tract 9604.03, Transylvania County, North Carolina",82589,null,11003,null
1400000US37175960404,"Census Tract 9604.04, Transylvania County, North Carolina",64437,null,14881,null
1400000US37175960501,"Census Tract 9605.01, Transylvania County, North Carolina",47212,null,25454,null
1400000US37175960502,"Census Tract 9605.02, Transylvania County, North Carolina",43399,null,3513,null
1400000US37175960601,"Census Tract 9606.01, Transylvania County, North Carolina",59000,null,47232,null
1400000US37175960602,"Census Tract 9606.02, Transylvania County, North Carolina",42500,null,13519,null
1400000US37177960100,"Census Tract 9601, Tyrrell County, North Carolina",40938,null,18714,null
1400000US37179020100,"Census Tract 201, Union County, North Carolina",89958,null,8381,null
1400000US37179020203,"Census Tract 202.03, Union County, North Carolina",115021,null,11644,null
1400000US37179020204,"Census Tract 202.04, Union County, North Carolina",77606,null,18838,null
1400000US37179020205,"Census Tract 202.05, Union County, North Carolina",66974,null,19012,null
1400000US37179020206,"Census Tract 202.06, Union County, North Carolina",85337,null,13403,null
1400000US37179020305,"Census Tract 203.05, Union County, North Carolina",86064,null,10867,null
1400000US37179020307,"Census Tract 203.07, Union County, North Carolina",71135,null,9567,null
1400000US37179020308,"Census Tract 203.08, Union County, North Carolina",105425,null,15149,null
1400000US37179020309,"Census Tract 203.09, Union County, North Carolina",100439,null,13195,null
1400000US37179020310,"Census Tract 203.10, Union County, North Carolina",107704,null,6010,null
1400000US37179020312,"Census Tract 203.12, Union County, North Carolina",73642,null,5233,null
1400000US37179020313,"Census Tract 203.13, Union County, North Carolina",68472,null,8804,null
1400000US37179020314,"Census Tract 203.14, Union County, North Carolina",73583,null,18442,null
1400000US37179020315,"Census Tract 203.15, Union County, North Carolina",113682,null,19439,null
1400000US37179020316,"Census Tract 203.16, Union County, North Carolina",89776,null,21292,null
1400000US37179020317,"Census Tract 203.17, Union County, North Carolina",113036,null,12957,null
1400000US37179020318,"Census Tract 203.18, Union County, North Carolina",69269,null,7191,null
1400000US37179020319,"Census Tract 203.19, Union County, North Carolina",84135,null,27719,null
1400000US37179020320,"Census Tract 203.20, Union County, North Carolina",83750,null,13850,null
1400000US37179020321,"Census Tract 203.21, Union County, North Carolina",83301,null,8439,null
1400000US37179020401,"Census Tract 204.01, Union County, North Carolina",88201,null,6941,null
1400000US37179020403,"Census Tract 204.03, Union County, North Carolina",72500,null,15209,null
1400000US37179020405,"Census Tract 204.05, Union County, North Carolina",46750,null,10117,null
1400000US37179020406,"Census Tract 204.06, Union County, North Carolina",37270,null,7705,null
1400000US37179020501,"Census Tract 205.01, Union County, North Carolina",63750,null,17383,null
1400000US37179020502,"Census Tract 205.02, Union County, North Carolina",55511,null,10784,null
1400000US37179020601,"Census Tract 206.01, Union County, North Carolina",62130,null,23844,null
1400000US37179020602,"Census Tract 206.02, Union County, North Carolina",51081,null,11269,null
1400000US37179020701,"Census Tract 207.01, Union County, North Carolina",50000,null,16889,null
1400000US37179020702,"Census Tract 207.02, Union County, North Carolina",58590,null,11861,null
1400000US37179020800,"Census Tract 208, Union County, North Carolina",57432,null,11891,null
1400000US37179020901,"Census Tract 209.01, Union County, North Carolina",47449,null,16991,null
1400000US37179020902,"Census Tract 209.02, Union County, North Carolina",70268,null,24651,null
1400000US37179021004,"Census Tract 210.04, Union County, North Carolina",112326,null,22003,null
1400000US37179021005,"Census Tract 210.05, Union County, North Carolina",77804,null,12976,null
1400000US37179021006,"Census Tract 210.06, Union County, North Carolina",208683,null,30378,null
1400000US37179021007,"Census Tract 210.07, Union County, North Carolina",230391,null,20696,null
1400000US37179021009,"Census Tract 210.09, Union County, North Carolina",187455,null,15556,null
1400000US37179021012,"Census Tract 210.12, Union County, North Carolina",123317,null,16363,null
1400000US37179021013,"Census Tract 210.13, Union County, North Carolina",91406,null,24446,null
1400000US37179021014,"Census Tract 210.14, Union County, North Carolina",64833,null,13191,null
1400000US37179021015,"Census Tract 210.15, Union County, North Carolina",72132,null,11558,null
1400000US37179021016,"Census Tract 210.16, Union County, North Carolina",199044,null,34684,null
1400000US37179021017,"Census Tract 210.17, Union County, North Carolina",205995,null,21531,null
1400000US37179021018,"Census Tract 210.18, Union County, North Carolina",144219,null,28516,null
1400000US37179021019,"Census Tract 210.19, Union County, North Carolina",144840,null,23923,null
1400000US37179021020,"Census Tract 210.20, Union County, North Carolina",167802,null,38184,null
1400000US37179021021,"Census Tract 210.21, Union County, North Carolina",154706,null,32739,null
1400000US37181960100,"Census Tract 9601, Vance County, North Carolina",53281,null,18701,null
1400000US37181960200,"Census Tract 9602, Vance County, North Carolina",48992,null,18718,null
1400000US37181960300,"Census Tract 9603, Vance County, North Carolina",50234,null,8944,null
1400000US37181960400,"Census Tract 9604, Vance County, North Carolina",54545,null,15569,null
1400000US37181960500,"Census Tract 9605, Vance County, North Carolina",48088,null,7417,null
1400000US37181960600,"Census Tract 9606, Vance County, North Carolina",35443,null,6646,null
1400000US37181960700,"Census Tract 9607, Vance County, North Carolina",24526,null,11155,null
1400000US37181960800,"Census Tract 9608, Vance County, North Carolina",33472,null,1165,null
1400000US37181960901,"Census Tract 9609.01, Vance County, North Carolina",70203,null,23670,null
1400000US37181960902,"Census Tract 9609.02, Vance County, North Carolina",70946,null,6587,null
1400000US37181960903,"Census Tract 9609.03, Vance County, North Carolina",26484,null,7982,null
1400000US37181961000,"Census Tract 9610, Vance County, North Carolina",48350,null,17948,null
1400000US37183050100,"Census Tract 501, Wake County, North Carolina",101932,null,12500,null
1400000US37183050300,"Census Tract 503, Wake County, North Carolina",81014,null,27799,null
1400000US37183050400,"Census Tract 504, Wake County, North Carolina",86500,null,30926,null
1400000US37183050500,"Census Tract 505, Wake County, North Carolina",93349,null,20967,null
1400000US37183050600,"Census Tract 506, Wake County, North Carolina",65559,null,15533,null
1400000US37183050700,"Census Tract 507, Wake County, North Carolina",44087,null,6676,null
1400000US37183050800,"Census Tract 508, Wake County, North Carolina",31962,null,2471,null
1400000US37183050900,"Census Tract 509, Wake County, North Carolina",38866,null,11668,null
1400000US37183051000,"Census Tract 510, Wake County, North Carolina",67969,null,7923,null
1400000US37183051101,"Census Tract 511.01, Wake County, North Carolina",30903,null,8897,null
1400000US37183051102,"Census Tract 511.02, Wake County, North Carolina",20391,null,18871,null
1400000US37183051200,"Census Tract 512, Wake County, North Carolina",60509,null,11039,null
1400000US37183051400,"Census Tract 514, Wake County, North Carolina",63936,null,9912,null
1400000US37183051501,"Census Tract 515.01, Wake County, North Carolina",155833,null,46876,null
1400000US37183051502,"Census Tract 515.02, Wake County, North Carolina",111466,null,18441,null
1400000US37183051600,"Census Tract 516, Wake County, North Carolina",145489,null,27319,null
1400000US37183051700,"Census Tract 517, Wake County, North Carolina",212321,null,44275,null
1400000US37183051800,"Census Tract 518, Wake County, North Carolina",133319,null,32575,null
1400000US37183051900,"Census Tract 519, Wake County, North Carolina",56700,null,20718,null
1400000US37183052001,"Census Tract 520.01, Wake County, North Carolina",35077,null,5023,null
1400000US37183052002,"Census Tract 520.02, Wake County, North Carolina",49280,null,9459,null
1400000US37183052101,"Census Tract 521.01, Wake County, North Carolina",40996,null,6180,null
1400000US37183052102,"Census Tract 521.02, Wake County, North Carolina",49393,null,13086,null
1400000US37183052303,"Census Tract 523.03, Wake County, North Carolina",55865,null,31291,null
1400000US37183052304,"Census Tract 523.04, Wake County, North Carolina",52521,null,34863,null
1400000US37183052305,"Census Tract 523.05, Wake County, North Carolina",43167,null,13743,null
1400000US37183052306,"Census Tract 523.06, Wake County, North Carolina",74773,null,16096,null
1400000US37183052307,"Census Tract 523.07, Wake County, North Carolina",48528,null,13949,null
1400000US37183052401,"Census Tract 524.01, Wake County, North Carolina",65125,null,10275,null
1400000US37183052404,"Census Tract 524.04, Wake County, North Carolina",77800,null,8293,null
